Kabupaten,Tahun,Bulan,Jumlah_Hotspot,Z_Score,Anomali
BONDOWOSO,2024,11,14,-0.4046941008542151,False
BONDOWOSO,2024,12,4,-0.5085237329349505,False
BONDOWOSO,2025,2,2,-0.5292896593510975,False
BONDOWOSO,2025,3,1,-0.539672622559171,False
BONDOWOSO,2025,4,7,-0.4773748433107298,False
BONDOWOSO,2025,5,13,-0.4150770640622886,False
BONDOWOSO,2025,6,30,-0.23856668952503848,False
BONDOWOSO,2025,7,53,0.00024146426065289184,False
BONDOWOSO,2025,8,74,0.21828369163019717,False
BONDOWOSO,2025,9,91,0.39479406616744733,False
BONDOWOSO,2025,10,55,0.021007390676799968,False
BONDOWOSO,2025,11,1,-0.539672622559171,False
BONDOWOSO,2025,12,2,-0.5292896593510975,False
GRESIK,2021,5,1,-0.7157597308041762,False
GRESIK,2021,9,1,-0.7157597308041762,False
GRESIK,2021,10,1,-0.7157597308041762,False
GRESIK,2022,2,8,-0.4851593154404876,False
GRESIK,2022,3,1,-0.7157597308041762,False
GRESIK,2022,4,5,-0.5839880648820684,False
GRESIK,2022,5,3,-0.6498738978431223,False
GRESIK,2022,6,1,-0.7157597308041762,False
GRESIK,2022,7,11,-0.3863305659989068,False
GRESIK,2022,8,12,-0.35338764951837986,False
GRESIK,2022,9,34,0.3713565130532128,False
GRESIK,2022,10,2,-0.6828168143236493,False
GRESIK,2022,11,1,-0.7157597308041762,False
GRESIK,2023,3,5,-0.5839880648820684,False
GRESIK,2023,5,17,-0.1886730671157452,False
GRESIK,2023,6,18,-0.15573015063521825,False
GRESIK,2023,7,45,0.7337285943390092,False
GRESIK,2023,8,89,2.1832169194821947,False
GRESIK,2023,9,71,1.5902444228327095,False
GRESIK,2023,10,73,1.6561302557937634,False
GRESIK,2023,11,23,0.00898443176741646,False
GRESIK,2023,12,5,-0.5839880648820684,False
GRESIK,2024,1,2,-0.6828168143236493,False
GRESIK,2024,2,9,-0.4522163989599607,False
GRESIK,2024,3,3,-0.6498738978431223,False
GRESIK,2024,4,4,-0.6169309813625954,False
GRESIK,2024,5,4,-0.6169309813625954,False
GRESIK,2024,6,29,0.2066419306505781,False
GRESIK,2024,7,24,0.0419273482479434,False
GRESIK,2024,8,140,3.8633056599890687,True
GRESIK,2024,9,82,1.952616504118506,False
GRESIK,2024,10,71,1.5902444228327095,False
GRESIK,2024,11,16,-0.22161598359627213,False
GRESIK,2025,1,1,-0.7157597308041762,False
GRESIK,2025,2,15,-0.25455890007679904,False
GRESIK,2025,3,5,-0.5839880648820684,False
GRESIK,2025,4,8,-0.4851593154404876,False
GRESIK,2025,5,5,-0.5839880648820684,False
GRESIK,2025,6,4,-0.6169309813625954,False
GRESIK,2025,7,24,0.0419273482479434,False
GRESIK,2025,8,46,0.7666715108195361,False
GRESIK,2025,9,44,0.7007856778584822,False
GRESIK,2025,10,34,0.3713565130532128,False
GRESIK,2025,12,3,-0.6498738978431223,False
JEMBER,2021,9,1,-0.6121493143863027,False
JEMBER,2021,10,3,-0.5646695891707446,False
JEMBER,2022,3,4,-0.5409297265629656,False
JEMBER,2022,4,6,-0.49345000134740746,False
JEMBER,2022,5,6,-0.49345000134740746,False
JEMBER,2022,6,13,-0.32727096309295406,False
JEMBER,2022,7,13,-0.32727096309295406,False
JEMBER,2022,8,5,-0.5171898639551865,False
JEMBER,2022,9,22,-0.11361219962294258,False
JEMBER,2022,10,4,-0.5409297265629656,False
JEMBER,2022,11,5,-0.5171898639551865,False
JEMBER,2023,3,10,-0.3984905509162912,False
JEMBER,2023,5,15,-0.27979123787739596,False
JEMBER,2023,6,27,0.005087113415952678,False
JEMBER,2023,7,24,-0.06613247440738448,False
JEMBER,2023,8,47,0.47988436557153374,False
JEMBER,2023,9,142,2.735171313310544,False
JEMBER,2023,10,195,3.993384031522834,True
JEMBER,2023,11,36,0.21874587688596417,False
JEMBER,2023,12,7,-0.4697101387396284,False
JEMBER,2024,1,2,-0.5884094517785237,False
JEMBER,2024,2,8,-0.44597027613184936,False
JEMBER,2024,3,5,-0.5171898639551865,False
JEMBER,2024,4,2,-0.5884094517785237,False
JEMBER,2024,5,3,-0.5646695891707446,False
JEMBER,2024,6,15,-0.27979123787739596,False
JEMBER,2024,7,35,0.19500601427818512,False
JEMBER,2024,8,102,1.7855768089993818,False
JEMBER,2024,9,124,2.307853786370521,False
JEMBER,2024,10,86,1.4057390072749167,False
JEMBER,2024,11,9,-0.42223041352407026,False
JEMBER,2025,2,4,-0.5409297265629656,False
JEMBER,2025,3,3,-0.5646695891707446,False
JEMBER,2025,4,6,-0.49345000134740746,False
JEMBER,2025,5,11,-0.37475068830851216,False
JEMBER,2025,6,10,-0.3984905509162912,False
JEMBER,2025,7,20,-0.16109192483850068,False
JEMBER,2025,8,44,0.4086647777481966,False
JEMBER,2025,9,28,0.028826976023731733,False
JEMBER,2025,10,17,-0.23231151266183786,False
JEMBER,2025,11,2,-0.5884094517785237,False
JEMBER,2025,12,4,-0.5409297265629656,False
JOMBANG,2021,4,2,-0.6333019566176536,False
JOMBANG,2021,6,1,-0.6589200037809265,False
JOMBANG,2021,7,3,-0.6076839094543808,False
JOMBANG,2021,9,2,-0.6333019566176536,False
JOMBANG,2022,3,1,-0.6589200037809265,False
JOMBANG,2022,4,12,-0.37712148498492454,False
JOMBANG,2022,5,5,-0.5564478151278349,False
JOMBANG,2022,6,8,-0.4795936736380162,False
JOMBANG,2022,7,6,-0.530829767964562,False
JOMBANG,2022,8,18,-0.22341320200528703,False
JOMBANG,2022,9,13,-0.3515034378216516,False
JOMBANG,2022,10,7,-0.5052117208012891,False
JOMBANG,2023,4,4,-0.5820658622911078,False
JOMBANG,2023,5,15,-0.30026734349510575,False
JOMBANG,2023,6,27,0.007149222464169198,False
JOMBANG,2023,7,80,1.3649057221176337,False
JOMBANG,2023,8,127,2.5689539387914606,False
JOMBANG,2023,9,100,1.8772666653830918,False
JOMBANG,2023,10,108,2.0822110426892753,False
JOMBANG,2023,11,16,-0.2746492963318329,False
JOMBANG,2023,12,7,-0.5052117208012891,False
JOMBANG,2024,1,2,-0.6333019566176536,False
JOMBANG,2024,3,1,-0.6589200037809265,False
JOMBANG,2024,4,3,-0.6076839094543808,False
JOMBANG,2024,5,5,-0.5564478151278349,False
JOMBANG,2024,6,21,-0.1465590605154683,False
JOMBANG,2024,7,56,0.7500725901990837,False
JOMBANG,2024,8,151,3.1837870707100104,True
JOMBANG,2024,9,110,2.133447137015821,False
JOMBANG,2024,10,62,0.9037808731787211,False
JOMBANG,2024,12,1,-0.6589200037809265,False
JOMBANG,2025,1,1,-0.6589200037809265,False
JOMBANG,2025,2,1,-0.6589200037809265,False
JOMBANG,2025,3,3,-0.6076839094543808,False
JOMBANG,2025,4,3,-0.6076839094543808,False
JOMBANG,2025,5,5,-0.5564478151278349,False
JOMBANG,2025,6,6,-0.530829767964562,False
JOMBANG,2025,7,37,0.2633296940968983,False
JOMBANG,2025,8,33,0.16085750544380667,False
JOMBANG,2025,9,49,0.5707462600561733,False
JOMBANG,2025,10,33,0.16085750544380667,False
JOMBANG,2025,11,1,-0.6589200037809265,False
JOMBANG,2025,12,3,-0.6076839094543808,False
KEDIRI,2021,3,1,-0.6474075014713994,False
KEDIRI,2021,5,1,-0.6474075014713994,False
KEDIRI,2021,7,1,-0.6474075014713994,False
KEDIRI,2021,9,1,-0.6474075014713994,False
KEDIRI,2021,10,3,-0.5857496441884089,False
KEDIRI,2021,11,2,-0.6165785728299041,False
KEDIRI,2022,2,1,-0.6474075014713994,False
KEDIRI,2022,3,2,-0.6165785728299041,False
KEDIRI,2022,4,5,-0.5240917869054186,False
KEDIRI,2022,5,1,-0.6474075014713994,False
KEDIRI,2022,6,5,-0.5240917869054186,False
KEDIRI,2022,7,8,-0.4316050009809329,False
KEDIRI,2022,8,11,-0.3391182150564473,False
KEDIRI,2022,9,22,0.0,False
KEDIRI,2022,10,9,-0.4007760723394377,False
KEDIRI,2022,11,2,-0.6165785728299041,False
KEDIRI,2022,12,10,-0.3699471436979425,False
KEDIRI,2023,1,10,-0.3699471436979425,False
KEDIRI,2023,3,8,-0.4316050009809329,False
KEDIRI,2023,4,6,-0.49326285826392335,False
KEDIRI,2023,5,12,-0.30828928641495207,False
KEDIRI,2023,6,27,0.15414464320747603,False
KEDIRI,2023,7,56,1.0481835738108372,False
KEDIRI,2023,8,95,2.25051179082915,False
KEDIRI,2023,9,109,2.682116791810083,False
KEDIRI,2023,10,78,1.7264200039237316,False
KEDIRI,2023,11,54,0.9865257165278467,False
KEDIRI,2023,12,28,0.18497357184897126,False
KEDIRI,2024,1,2,-0.6165785728299041,False
KEDIRI,2024,2,9,-0.4007760723394377,False
KEDIRI,2024,3,3,-0.5857496441884089,False
KEDIRI,2024,4,3,-0.5857496441884089,False
KEDIRI,2024,5,9,-0.4007760723394377,False
KEDIRI,2024,6,11,-0.3391182150564473,False
KEDIRI,2024,7,32,0.30828928641495207,False
KEDIRI,2024,8,110,2.7129457204515783,False
KEDIRI,2024,9,90,2.0963671476216743,False
KEDIRI,2024,10,124,3.1445507214325112,True
KEDIRI,2024,11,2,-0.6165785728299041,False
KEDIRI,2024,12,8,-0.4316050009809329,False
KEDIRI,2025,3,2,-0.6165785728299041,False
KEDIRI,2025,4,5,-0.5240917869054186,False
KEDIRI,2025,5,5,-0.5240917869054186,False
KEDIRI,2025,6,13,-0.2774603577734569,False
KEDIRI,2025,7,25,0.09248678592448563,False
KEDIRI,2025,8,33,0.3391182150564473,False
KEDIRI,2025,9,27,0.15414464320747603,False
KEDIRI,2025,10,17,-0.15414464320747603,False
KEDIRI,2025,11,1,-0.6474075014713994,False
KEDIRI,2025,12,1,-0.6474075014713994,False
LAMONGAN,2021,4,2,-0.5097810366660508,False
LAMONGAN,2021,5,1,-0.5273596931028112,False
LAMONGAN,2021,6,1,-0.5273596931028112,False
LAMONGAN,2021,9,2,-0.5097810366660508,False
LAMONGAN,2021,10,1,-0.5273596931028112,False
LAMONGAN,2022,3,1,-0.5273596931028112,False
LAMONGAN,2022,4,2,-0.5097810366660508,False
LAMONGAN,2022,5,3,-0.49220238022929047,False
LAMONGAN,2022,6,7,-0.42188775448224897,False
LAMONGAN,2022,7,7,-0.42188775448224897,False
LAMONGAN,2022,8,16,-0.2636798465514056,False
LAMONGAN,2022,9,39,0.14062925149408298,False
LAMONGAN,2022,10,8,-0.4043090980454886,False
LAMONGAN,2022,11,2,-0.5097810366660508,False
LAMONGAN,2022,12,6,-0.43946641091900934,False
LAMONGAN,2023,4,3,-0.49220238022929047,False
LAMONGAN,2023,5,6,-0.43946641091900934,False
LAMONGAN,2023,6,31,0.0,False
LAMONGAN,2023,7,81,0.8789328218380187,False
LAMONGAN,2023,8,140,1.9160735516068808,False
LAMONGAN,2023,9,159,2.2500680239053277,False
LAMONGAN,2023,10,50,0.3339944722984471,False
LAMONGAN,2023,11,8,-0.4043090980454886,False
LAMONGAN,2024,1,1,-0.5273596931028112,False
LAMONGAN,2024,2,1,-0.5273596931028112,False
LAMONGAN,2024,3,2,-0.5097810366660508,False
LAMONGAN,2024,5,3,-0.49220238022929047,False
LAMONGAN,2024,6,3,-0.49220238022929047,False
LAMONGAN,2024,7,57,0.4570450673557697,False
LAMONGAN,2024,8,242,3.709096508156439,True
LAMONGAN,2024,9,208,3.111422189306586,True
LAMONGAN,2024,10,54,0.4043090980454886,False
